时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-13 14:29,22.3450,102.9200,125.2650,82.16%
2025-10-13 14:30,46.6970,51.1520,97.8490,52.28%
2025-10-13 14:31,33.7620,50.2120,83.9740,59.79%
2025-10-13 14:32,67.7000,170.9430,238.6430,71.63%
2025-10-13 14:33,150.0250,158.4530,308.4780,51.37%
2025-10-13 14:34,122.3350,31.8120,154.1470,20.64%
2025-10-13 14:35,37.1900,121.0850,158.2750,76.50%
2025-10-13 14:36,47.9610,57.5100,105.4710,54.53%
2025-10-13 14:37,16.0100,32.9780,48.9880,67.32%
2025-10-13 14:38,55.3730,45.1770,100.5500,44.93%
2025-10-13 14:39,32.9840,42.2340,75.2180,56.15%
2025-10-13 14:40,13.8940,38.2930,52.1870,73.38%
2025-10-13 14:41,24.0450,19.9330,43.9780,45.32%
2025-10-13 14:42,77.8790,16.2660,94.1450,17.28%
2025-10-13 14:43,50.8660,49.0490,99.9150,49.09%
2025-10-13 14:44,25.8200,15.8130,41.6330,37.98%
2025-10-13 14:45,43.7530,25.3180,69.0710,36.66%
2025-10-13 14:46,36.9150,66.1350,103.0500,64.18%
2025-10-13 14:47,66.3070,53.2380,119.5450,44.53%
2025-10-13 14:48,39.7960,31.0090,70.8050,43.79%
2025-10-13 14:49,18.8440,44.3390,63.1830,70.18%
2025-10-13 14:50,31.5670,34.1620,65.7290,51.97%
2025-10-13 14:51,37.7840,185.3030,223.0870,83.06%
2025-10-13 14:52,41.1110,119.8080,160.9190,74.45%
2025-10-13 14:53,67.6500,119.4810,187.1310,63.85%
2025-10-13 14:54,44.3300,44.4350,88.7650,50.06%
2025-10-13 14:55,34.8270,69.2970,104.1240,66.55%
2025-10-13 14:56,94.7000,66.1020,160.8020,41.11%
2025-10-13 14:57,38.2160,28.1840,66.4000,42.45%
2025-10-13 14:58,68.1010,47.4000,115.5010,41.04%
2025-10-13 14:59,2.4410,10.2090,12.6500,80.70%
2025-10-13 15:00,59.3870,115.2360,174.6230,65.99%
2025-10-13 15:01,47.0470,19.7420,66.7890,29.56%
2025-10-13 15:02,36.9180,49.7280,86.6460,57.39%
2025-10-13 15:03,25.3850,35.9600,61.3450,58.62%
