时间,合约总成交(BTC),大单成交(BTC),大单比,买大单(BTC),卖大单(BTC)
2025-10-14 15:44,208.4280,118.1400,56.68%,57.0780,61.0620
2025-10-14 15:45,231.6670,125.7790,54.29%,57.1410,68.6380
2025-10-14 15:46,302.1230,169.8960,56.23%,75.0810,94.8150
2025-10-14 15:47,201.8270,96.9390,48.03%,64.3270,32.6120
2025-10-14 15:48,232.0920,119.3580,51.43%,46.3710,72.9870
2025-10-14 15:49,161.8930,85.2110,52.63%,56.2930,28.9180
2025-10-14 15:50,178.1400,96.3310,54.08%,33.8030,62.5280
2025-10-14 15:51,159.1340,80.5590,50.62%,48.2460,32.3130
2025-10-14 15:52,156.5390,88.2940,56.40%,37.0680,51.2260
2025-10-14 15:53,117.9880,59.0980,50.09%,34.3360,24.7620
2025-10-14 15:54,191.3550,107.5210,56.19%,66.2460,41.2750
2025-10-14 15:55,190.7110,111.9170,58.68%,40.5880,71.3290
2025-10-14 15:56,139.1590,71.6980,51.52%,35.6410,36.0570
2025-10-14 15:57,258.3200,129.0790,49.97%,54.7200,74.3590
2025-10-14 15:58,194.9990,108.3040,55.54%,69.1790,39.1250
2025-10-14 15:59,140.4770,78.0890,55.59%,52.6360,25.4530
2025-10-14 16:00,229.4210,132.8230,57.89%,71.4880,61.3350
2025-10-14 16:01,176.0160,106.3450,60.42%,48.2520,58.0930
2025-10-14 16:02,49.7190,33.8190,68.02%,21.5800,12.2390
2025-10-14 16:03,194.3180,99.8520,51.39%,41.1400,58.7120
2025-10-14 16:04,262.1950,163.5390,62.37%,83.2670,80.2720
2025-10-14 16:05,233.3140,140.0400,60.02%,72.7470,67.2930
2025-10-14 16:06,207.5350,120.8960,58.25%,44.2870,76.6090
2025-10-14 16:07,249.2300,147.2400,59.08%,60.0250,87.2150
2025-10-14 16:08,252.7700,128.2410,50.73%,84.1470,44.0940
2025-10-14 16:09,203.0170,120.7570,59.48%,41.9110,78.8460
2025-10-14 16:10,199.7670,115.3570,57.75%,64.5790,50.7780
2025-10-14 16:11,150.6560,80.3940,53.36%,56.5530,23.8410
2025-10-14 16:12,211.1270,117.0600,55.45%,56.8610,60.1990
2025-10-14 16:13,287.1540,158.6580,55.25%,103.2920,55.3660
2025-10-14 16:14,118.1290,63.5690,53.81%,31.9990,31.5700
2025-10-14 16:15,127.9320,67.8290,53.02%,31.6520,36.1770
2025-10-14 16:16,137.5100,79.8410,58.06%,28.9300,50.9110
2025-10-14 16:17,164.9970,91.3060,55.34%,45.4560,45.8500
2025-10-14 16:18,97.3460,49.5460,50.90%,21.7340,27.8120
2025-10-14 16:19,107.9440,65.0300,60.24%,25.1420,39.8880
2025-10-14 16:20,97.2700,53.0880,54.58%,29.8600,23.2280
2025-10-14 16:21,185.1960,110.7770,59.82%,61.4830,49.2940
2025-10-14 16:22,100.9000,56.9730,56.46%,25.6790,31.2940
2025-10-14 16:23,63.9410,28.5860,44.71%,24.3920,4.1940
2025-10-14 16:24,86.3380,50.7310,58.76%,25.4780,25.2530
2025-10-14 16:25,161.8700,96.9370,59.89%,65.7980,31.1390
2025-10-14 16:26,103.2200,58.7220,56.89%,22.6280,36.0940
2025-10-14 16:27,228.0870,126.0520,55.26%,89.3810,36.6710
2025-10-14 16:28,190.6500,99.5470,52.21%,39.6280,59.9190
2025-10-14 16:29,186.2560,100.1190,53.75%,56.4330,43.6860
2025-10-14 16:30,410.8630,219.7760,53.49%,181.1800,38.5960
2025-10-14 16:31,275.2610,157.4980,57.22%,86.9570,70.5410
2025-10-14 16:32,247.5160,129.8650,52.47%,34.3480,95.5170
2025-10-14 16:33,150.9970,79.2130,52.46%,41.5430,37.6700
2025-10-14 16:34,69.4220,33.4330,48.16%,15.5790,17.8540
2025-10-14 16:35,125.5470,67.1840,53.51%,37.4200,29.7640
2025-10-14 16:36,165.3480,104.1840,63.01%,44.1720,60.0120
2025-10-14 16:37,212.5340,134.7430,63.40%,54.2120,80.5310
2025-10-14 16:38,87.7920,44.5180,50.71%,20.3520,24.1660
2025-10-14 16:39,116.3050,69.8280,60.04%,45.7070,24.1210
2025-10-14 16:40,73.2950,35.2780,48.13%,15.1530,20.1250
2025-10-14 16:41,132.6650,69.5350,52.41%,28.6370,40.8980
2025-10-14 16:42,117.1090,69.7890,59.59%,47.9950,21.7940
2025-10-14 17:59,54.3190,21.8160,40.16%,12.0800,9.7360
2025-10-14 18:00,115.2130,56.1630,48.75%,13.3030,42.8600
